region,year,month,hours_speed_ok,hours_direction_ok,hours_both_ok,hours_with_data,mean_speed_kt,days_met,pct_hours_speed,pct_hours_direction,pct_hours_both
75%,2025,4,27,13,0,720,11.1146229489129,0,3.75,1.8055555555555556,0.0
75%,2025,5,60,84,33,744,13.648115738068304,4,8.064516129032258,11.290322580645162,4.435483870967742
75%,2025,6,90,114,35,720,12.728423117380906,2,12.5,15.833333333333334,4.861111111111111
75%,2025,7,40,112,20,744,10.278252032628723,1,5.376344086021505,15.053763440860216,2.6881720430107525
75%,2025,8,78,78,23,744,12.744592998341117,1,10.483870967741936,10.483870967741936,3.0913978494623655
75%,2025,9,231,113,71,720,16.93741034767464,5,32.083333333333336,15.694444444444445,9.86111111111111
75%,2025,10,219,40,17,744,17.342767941950154,1,29.43548387096774,5.376344086021505,2.28494623655914
75%,2025,11,358,109,81,720,18.250419552372986,4,49.72222222222222,15.13888888888889,11.25
75%,2025,12,322,101,63,744,18.813456393366515,4,43.27956989247312,13.575268817204302,8.46774193548387
75%,2026,1,261,55,34,744,17.41150440683499,2,35.08064516129032,7.39247311827957,4.56989247311828
75%,2026,2,223,70,38,672,17.085936179005234,4,33.18452380952381,10.416666666666666,5.654761904761905
75%,2026,3,169,114,58,744,14.410398689309579,3,22.71505376344086,15.32258064516129,7.795698924731183
75%,2026,4,112,42,9,720,13.253521449638487,0,15.555555555555555,5.833333333333333,1.25
75%,2026,5,50,75,20,744,11.395223123657926,1,6.720430107526882,10.080645161290322,2.6881720430107525
75%,2026,6,56,83,24,720,12.75511155857186,1,7.777777777777778,11.527777777777779,3.3333333333333335
75%,2026,7,24,35,0,744,11.561331738500503,0,3.225806451612903,4.704301075268817,0.0
75%,2026,8,15,27,13,329,10.13284231992474,1,4.5592705167173255,8.206686930091186,3.951367781155015
50%,2021,1,250,105,38,744,17.14950335021795,2,33.60215053763441,14.112903225806452,5.10752688172043
50%,2021,2,261,93,35,672,16.86744732739979,2,38.839285714285715,13.839285714285714,5.208333333333333
50%,2021,3,179,190,74,744,14.900991465012448,6,24.059139784946236,25.537634408602152,9.946236559139784
50%,2021,4,122,93,53,720,13.684085457530635,3,16.944444444444443,12.916666666666666,7.361111111111111
50%,2021,5,83,101,17,744,12.720846742913512,1,11.155913978494624,13.575268817204302,2.28494623655914
50%,2021,6,8,81,0,720,9.804876527260966,0,1.1111111111111112,11.25,0.0
50%,2021,7,86,128,29,744,11.407850824379244,2,11.559139784946236,17.204301075268816,3.8978494623655915
50%,2021,8,119,141,40,744,13.898398990137391,3,15.994623655913978,18.951612903225808,5.376344086021505
50%,2021,9,59,85,10,720,12.293062458931628,1,8.194444444444445,11.805555555555555,1.3888888888888888
50%,2021,10,311,244,134,744,18.1789565708905,5,41.80107526881721,32.795698924731184,18.010752688172044
50%,2021,11,210,87,28,720,15.787215068621071,2,29.166666666666668,12.083333333333334,3.888888888888889
50%,2021,12,235,118,70,744,16.278816825118316,3,31.586021505376344,15.86021505376344,9.408602150537634
50%,2022,1,257,163,66,744,16.20053497045651,3,34.543010752688176,21.908602150537636,8.870967741935484
50%,2022,2,343,134,85,672,21.558319485130646,5,51.041666666666664,19.94047619047619,12.648809523809524
50%,2022,3,100,11,0,744,12.913754677272896,0,13.440860215053764,1.478494623655914,0.0
50%,2022,4,176,51,24,720,15.100246441396855,1,24.444444444444443,7.083333333333333,3.3333333333333335
50%,2022,5,34,108,20,744,11.179984066803188,1,4.56989247311828,14.516129032258064,2.6881720430107525
50%,2022,6,36,83,2,720,10.981848321485819,0,5.0,11.527777777777779,0.2777777777777778
50%,2022,7,24,87,10,744,10.867535845445373,0,3.225806451612903,11.693548387096774,1.3440860215053763
50%,2022,8,39,57,12,744,10.332236184681243,1,5.241935483870968,7.661290322580645,1.6129032258064515
50%,2022,9,121,117,74,720,13.347476494174924,5,16.805555555555557,16.25,10.277777777777779
50%,2022,10,223,197,91,744,16.088651653073253,6,29.973118279569892,26.478494623655912,12.231182795698924
50%,2022,11,323,155,107,720,18.618907796632627,7,44.861111111111114,21.52777777777778,14.86111111111111
50%,2022,12,259,152,71,744,16.701436474862856,3,34.81182795698925,20.43010752688172,9.543010752688172
50%,2023,1,349,120,87,744,18.784006016815024,5,46.90860215053763,16.129032258064516,11.693548387096774
50%,2023,2,157,52,8,672,13.932307419905245,0,23.363095238095237,7.738095238095238,1.1904761904761905
50%,2023,3,266,229,115,744,16.920513972393017,7,35.75268817204301,30.77956989247312,15.456989247311828
50%,2023,4,126,52,10,720,13.355573397581459,0,17.5,7.222222222222222,1.3888888888888888
50%,2023,5,32,31,0,744,11.84595936107388,0,4.301075268817204,4.166666666666667,0.0
50%,2023,6,14,40,7,720,12.029325341112168,1,1.9444444444444444,5.555555555555555,0.9722222222222222
50%,2023,7,121,152,65,744,14.068644166993012,3,16.263440860215052,20.43010752688172,8.736559139784946
50%,2023,8,59,187,45,744,12.91977990332167,4,7.93010752688172,25.134408602150536,6.048387096774194
50%,2023,9,105,66,21,720,11.89785613627146,1,14.583333333333334,9.166666666666666,2.9166666666666665
50%,2023,10,310,169,83,744,16.462795340585767,4,41.666666666666664,22.71505376344086,11.155913978494624
50%,2023,11,341,100,48,720,19.192813819672956,1,47.361111111111114,13.88888888888889,6.666666666666667
50%,2023,12,369,95,50,744,20.149199058559315,4,49.596774193548384,12.768817204301076,6.720430107526882
50%,2024,1,323,130,74,744,19.850476325298455,5,43.413978494623656,17.473118279569892,9.946236559139784
50%,2024,2,268,115,52,696,16.746948330922073,3,38.50574712643678,16.522988505747126,7.471264367816092
